"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"ACTA2"	0	1.80238050864052	0.781	0.179	0	"NORMAL.Basal"	"ACTA2"
"IGFBP3"	0	1.78440955275612	0.537	0.23	0	"NORMAL.Basal"	"IGFBP3"
"STC2"	0	1.70942492161483	0.79	0.352	0	"NORMAL.Basal"	"STC2"
"MYLK"	0	1.67089733214557	0.78	0.151	0	"NORMAL.Basal"	"MYLK"
"MT1X"	0	1.62592390975928	0.815	0.539	0	"NORMAL.Basal"	"MT1X"
"ACTG2"	0	1.5368425825273	0.771	0.215	0	"NORMAL.Basal"	"ACTG2"
"KRT14"	0	1.46281074369223	0.977	0.635	0	"NORMAL.Basal"	"KRT14"
"KRT5"	0	1.39874456916492	0.85	0.371	0	"NORMAL.Basal"	"KRT5"
"CALD1"	0	1.3355675073462	0.938	0.565	0	"NORMAL.Basal"	"CALD1"
"FBXO32"	0	1.2806814902591	0.857	0.463	0	"NORMAL.Basal"	"FBXO32"
"TPM2"	0	1.20669203708502	0.946	0.383	0	"NORMAL.Basal"	"TPM2"
"DST"	0	1.19486466680015	0.863	0.536	0	"NORMAL.Basal"	"DST"
"IGFBP2"	0	1.17626220641574	0.669	0.212	0	"NORMAL.Basal"	"IGFBP2"
"TUBB2B"	0	1.17194279158525	0.841	0.236	0	"NORMAL.Basal"	"TUBB2B"
"ADM"	0	1.1657265460352	0.69	0.297	0	"NORMAL.Basal"	"ADM"
"MT2A"	0	1.15317580551722	0.989	0.808	0	"NORMAL.Basal"	"MT2A"
"PGF"	0	1.14071895992362	0.459	0.083	0	"NORMAL.Basal"	"PGF"
"APOE"	0	1.0818619425773	0.735	0.215	0	"NORMAL.Basal"	"APOE"
"KRT17"	0	1.07647028507942	0.965	0.813	0	"NORMAL.Basal"	"KRT17"
"HERPUD1"	0	1.07012444678916	0.818	0.648	0	"NORMAL.Basal"	"HERPUD1"
"HMOX1"	0	1.05205677587096	0.856	0.405	0	"NORMAL.Basal"	"HMOX1"
"TAGLN"	0	1.04791114582541	0.875	0.367	0	"NORMAL.Basal"	"TAGLN"
"SPP1"	0	1.03650312051662	0.263	0.029	0	"NORMAL.Basal"	"SPP1"
"ID4"	0	1.0181918723449	0.662	0.218	0	"NORMAL.Basal"	"ID4"
"PPP1R3C"	0	1.01486887068306	0.361	0.065	0	"NORMAL.Basal"	"PPP1R3C"
"SAA1"	0	1.00636209714941	0.979	0.779	0	"NORMAL.Basal"	"SAA1"
"HILPDA"	0	0.958648576310457	0.667	0.28	0	"NORMAL.Basal"	"HILPDA"
"H1FX"	0	0.958405504058811	0.793	0.601	0	"NORMAL.Basal"	"H1FX"
"DKK3"	0	0.938526192163711	0.717	0.205	0	"NORMAL.Basal"	"DKK3"
"CSRP1"	0	0.937237375786217	0.755	0.464	0	"NORMAL.Basal"	"CSRP1"
"FTL"	0	0.936969209611148	0.999	0.984	0	"NORMAL.Basal"	"FTL"
"NUPR1"	0	0.924836644195876	0.967	0.881	0	"NORMAL.Basal"	"NUPR1"
"HSPA5"	0	0.922147469390865	0.888	0.766	0	"NORMAL.Basal"	"HSPA5"
"AKR1B1"	0	0.918592855771251	0.657	0.346	0	"NORMAL.Basal"	"AKR1B1"
"ZBTB16"	0	0.912139063953989	0.556	0.119	0	"NORMAL.Basal"	"ZBTB16"
"GYPC"	0	0.898224836849921	0.777	0.241	0	"NORMAL.Basal"	"GYPC"
"NNMT"	0	0.859688839772433	0.885	0.533	0	"NORMAL.Basal"	"NNMT"
"FBXO2"	0	0.834499854589609	0.831	0.523	0	"NORMAL.Basal"	"FBXO2"
"CEBPD"	0	0.830420335521671	0.972	0.891	0	"NORMAL.Basal"	"CEBPD"
"NDRG1"	0	0.818256848766104	0.542	0.302	0	"NORMAL.Basal"	"NDRG1"
"GADD45A"	0	0.81695350972252	0.703	0.408	0	"NORMAL.Basal"	"GADD45A"
"CAV1"	0	0.80208191747553	0.822	0.408	0	"NORMAL.Basal"	"CAV1"
"CCNI"	0	0.780747571447259	0.924	0.823	0	"NORMAL.Basal"	"CCNI"
"SPARCL1"	0	0.774794151520033	0.406	0.049	0	"NORMAL.Basal"	"SPARCL1"
"CLMP"	0	0.773277487985229	0.596	0.149	0	"NORMAL.Basal"	"CLMP"
"GCLM"	0	0.7731326066341	0.898	0.682	0	"NORMAL.Basal"	"GCLM"
