"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"MUCL1" 0 2.34610089282674 0.382 0.171 0 "0" "MUCL1"
"TMSB4X" 0 1.79544091006164 0.997 0.896 0 "0" "TMSB4X"
"C8orf4" 0 1.68394915995136 0.838 0.13 0 "0" "C8orf4"
"HSPB1" 0 1.65982060551745 0.93 0.533 0 "0" "HSPB1"
"AREG" 0 1.505412331335 0.575 0.286 0 "0" "AREG"
"SAT1" 0 1.49601875017348 0.999 0.936 0 "0" "SAT1"
"C15orf48" 0 1.24755126738766 0.715 0.233 0 "0" "C15orf48"
"AZGP1" 0 1.21200905326354 0.941 0.488 0 "0" "AZGP1"
"MALAT1" 0 1.21184652198096 0.991 0.959 0 "0" "MALAT1"
"AGR2" 0 1.20892547111594 0.419 0.044 0 "0" "AGR2"
"CYB5A" 0 1.19573719479798 0.875 0.422 0 "0" "CYB5A"
"CST3" 0 1.16984540038321 0.89 0.435 0 "0" "CST3"
"CRABP2" 0 1.1264306702063 0.813 0.389 0 "0" "CRABP2"
"ANKRD30A" 0 1.11942063389266 0.51 0.035 0 "0" "ANKRD30A"
"ADIRF" 0 1.1152315042339 0.876 0.428 0 "0" "ADIRF"
"SOX4" 0 1.03152898953676 0.85 0.53 0 "0" "SOX4"
"SCCPDH" 0 1.02704353237535 0.649 0.155 0 "0" "SCCPDH"
"MDK" 0 1.00651003047137 0.737 0.32 0 "0" "MDK"
"TNFSF10" 0 0.993840268720433 0.571 0.321 0 "0" "TNFSF10"
"IER3" 0 0.986454629473729 0.853 0.678 0 "0" "IER3"
"DNAJC12" 0 0.971458664493167 0.593 0.067 0 "0" "DNAJC12"
"CD99" 0 0.963696313617673 0.719 0.197 0 "0" "CD99"
"TFPI" 0 0.95034327273387 0.501 0.056 0 "0" "TFPI"
"S100A6" 0 0.922157965657486 0.991 0.954 0 "0" "S100A6"
"ATP1B1" 0 0.911870835116055 0.801 0.474 0 "0" "ATP1B1"
"CIB1" 0 0.874553186001858 0.793 0.416 0 "0" "CIB1"
"SMIM14" 0 0.859300791679998 0.737 0.255 0 "0" "SMIM14"
"PTGR1" 0 0.853230810163544 0.608 0.269 0 "0" "PTGR1"
"PRSS23" 0 0.852539999908251 0.532 0.132 0 "0" "PRSS23"
"TMC5" 0 0.835344993934333 0.523 0.06 0 "0" "TMC5"
"CD24" 0 0.83381225325973 0.962 0.622 0 "0" "CD24"
"MARCKSL1" 0 0.822073299453877 0.833 0.483 0 "0" "MARCKSL1"
"EFHD1" 0 0.799328095291678 0.537 0.08 0 "0" "EFHD1"
"BHLHE40" 0 0.798713986066531 0.55 0.298 0 "0" "BHLHE40"
"TBX3" 0 0.796606505484921 0.607 0.193 0 "0" "TBX3"
"TMSB10" 0 0.771037088927789 0.998 0.985 0 "0" "TMSB10"
"TSC22D1" 0 0.768103255789627 0.91 0.628 0 "0" "TSC22D1"
"GOLM1" 0 0.748757270315469 0.585 0.11 0 "0" "GOLM1"
"RAB11FIP1" 0 0.746931289664902 0.583 0.184 0 "0" "RAB11FIP1"
"SERHL2" 0 0.72214060377968 0.275 0.035 0 "0" "SERHL2"
"PPDPF" 0 0.719789571623878 0.964 0.797 0 "0" "PPDPF"
"VAMP8" 0 0.715477578520144 0.94 0.712 0 "0" "VAMP8"
"PTHLH" 0 0.71433326226377 0.304 0.05 0 "0" "PTHLH"
"TM4SF1" 0 0.706059072835073 0.969 0.861 0 "0" "TM4SF1"
"KRT8" 0 0.69974444571139 0.924 0.728 0 "0" "KRT8"
"SYTL2" 0 0.69955237473374 0.487 0.049 0 "0" "SYTL2"
"NDUFV2" 0 0.696301332290476 0.928 0.751 0 "0" "NDUFV2"
"ARHGAP29" 0 0.691246151362538 0.788 0.515 0 "0" "ARHGAP29"
"UCP2" 0 0.690928077871517 0.407 0.043 0 "0" "UCP2"
"GNAS" 0 0.681227341450455 0.858 0.623 0 "0" "GNAS"
"IFITM2" 0 0.669362664025699 0.62 0.336 0 "0" "IFITM2"
"CD47" 0 0.655437498070867 0.797 0.543 0 "0" "CD47"
"KRT18" 0 0.640932747018633 0.933 0.653 0 "0" "KRT18"
"JUND" 0 0.640202766599892 0.636 0.343 0 "0" "JUND"
"SLC39A6" 0 0.638483057656753 0.661 0.37 0 "0" "SLC39A6"
"TMEM45B" 0 0.63567660117098 0.474 0.083 0 "0" "TMEM45B"
"SERF2" 0 0.633147006642751 0.996 0.957 0 "0" "SERF2"
"DUSP4" 0 0.632563574601644 0.595 0.309 0 "0" "DUSP4"
"RBP1" 0 0.630059168282752 0.482 0.242 0 "0" "RBP1"
"CARHSP1" 0 0.622467031884349 0.895 0.684 0 "0" "CARHSP1"
"TSPAN15" 0 0.613632882194342 0.507 0.103 0 "0" "TSPAN15"
"ERO1A" 0 0.60850813311406 0.588 0.324 0 "0" "ERO1A"
"ABRACL" 0 0.603502900572586 0.721 0.349 0 "0" "ABRACL"
"SMIM22" 0 0.601171940974515 0.556 0.206 0 "0" "SMIM22"
"REEP5" 0 0.591739484020698 0.852 0.621 0 "0" "REEP5"
"H2AFJ" 0 0.582657989682433 0.765 0.487 0 "0" "H2AFJ"
"MYO6" 0 0.579874960474724 0.758 0.418 0 "0" "MYO6"
"RHOV" 0 0.579355229681131 0.461 0.207 0 "0" "RHOV"
"NINJ1" 0 0.568022712563345 0.515 0.202 0 "0" "NINJ1"
"OCIAD2" 0 0.562582393659287 0.77 0.497 0 "0" "OCIAD2"
"SQRDL" 0 0.56081998022644 0.726 0.418 0 "0" "SQRDL"
"TSPAN13" 0 0.544059704928169 0.55 0.215 0 "0" "TSPAN13"
"CAPG" 0 0.539324714051314 0.686 0.364 0 "0" "CAPG"
"CLU" 0 0.539105501319665 0.658 0.41 0 "0" "CLU"
"ASAH1" 0 0.538882873270448 0.537 0.227 0 "0" "ASAH1"
"PLAT" 0 0.537373032177786 0.32 0.102 0 "0" "PLAT"
"S100A14" 0 0.53413024510616 0.923 0.749 0 "0" "S100A14"
"BCAM" 0 0.531327509995282 0.435 0.114 0 "0" "BCAM"
"B2M" 0 0.527458087063752 0.998 0.985 0 "0" "B2M"
"NTN4" 0 0.52045814985034 0.423 0.104 0 "0" "NTN4"
"LIMCH1" 0 0.518621071672299 0.446 0.108 0 "0" "LIMCH1"
"GPX4" 0 0.515443000061633 0.945 0.816 0 "0" "GPX4"
"MLPH" 0 0.513347336517728 0.395 0.049 0 "0" "MLPH"
"IDH2" 0 0.513170734743842 0.565 0.324 0 "0" "IDH2"
"RPS27L" 0 0.510392020165195 0.828 0.641 0 "0" "RPS27L"
"SH3BGRL" 0 0.504075234317363 0.483 0.21 0 "0" "SH3BGRL"
"COX6C" 0 0.502631864727645 0.945 0.818 0 "0" "COX6C"
"MYL12B" 0 0.498845321515834 0.99 0.966 0 "0" "MYL12B"
"SLC44A4" 0 0.49774815242569 0.376 0.032 0 "0" "SLC44A4"
"TFAP2A" 0 0.493141709511666 0.523 0.24 0 "0" "TFAP2A"
"FAM213A" 0 0.492657583812414 0.479 0.176 0 "0" "FAM213A"
"WSB1" 0 0.491330145517774 0.694 0.464 0 "0" "WSB1"
"LURAP1L" 0 0.489512523529608 0.55 0.249 0 "0" "LURAP1L"
"FOXA1" 0 0.487553569910382 0.365 0.025 0 "0" "FOXA1"
"TFAP2B" 0 0.484260193996787 0.286 0.052 0 "0" "TFAP2B"
"CYSTM1" 0 0.480711122779089 0.8 0.576 0 "0" "CYSTM1"
"ZFP36L1" 0 0.476498016268583 0.828 0.594 0 "0" "ZFP36L1"
"SERINC2" 0 0.475375496713029 0.748 0.503 0 "0" "SERINC2"
"HSBP1" 0 0.475351535608975 0.899 0.715 0 "0" "HSBP1"
"MGLL" 0 0.473625055760447 0.389 0.163 0 "0" "MGLL"
"TPBG" 0 0.473463240457858 0.562 0.297 0 "0" "TPBG"
"DYNLT3" 0 0.468672079679277 0.596 0.316 0 "0" "DYNLT3"
"HNMT" 0 0.467530152435284 0.355 0.099 0 "0" "HNMT"
"ELF3" 0 0.46707881092774 0.885 0.659 0 "0" "ELF3"
"BZW1" 0 0.463078492640312 0.813 0.601 0 "0" "BZW1"
"UGDH" 0 0.456960801948322 0.521 0.272 0 "0" "UGDH"
"GSTM3" 0 0.455085027501048 0.474 0.237 0 "0" "GSTM3"
"HN1" 0 0.454741301145077 0.653 0.424 0 "0" "HN1"
"ASPH" 0 0.449785421477983 0.649 0.4 0 "0" "ASPH"
"TC2N" 0 0.439772682233073 0.453 0.215 0 "0" "TC2N"
"HES4" 0 0.438847245802192 0.513 0.242 0 "0" "HES4"
"MUC1" 0 0.431970073341305 0.425 0.171 0 "0" "MUC1"
"SPINT2" 0 0.429459435030587 0.971 0.896 0 "0" "SPINT2"
"COX17" 0 0.428781811954055 0.777 0.553 0 "0" "COX17"
"DHCR24" 0 0.419210190105306 0.454 0.176 0 "0" "DHCR24"
"QSOX1" 0 0.417735821335353 0.513 0.252 0 "0" "QSOX1"
"CA12" 0 0.413283722917095 0.411 0.152 0 "0" "CA12"
"ANXA6" 0 0.412408710917453 0.477 0.22 0 "0" "ANXA6"
"BAG1" 0 0.403736669895446 0.742 0.547 0 "0" "BAG1"
"MMP24-AS1" 0 0.401339683594762 0.494 0.263 0 "0" "MMP24-AS1"
"SDR16C5" 0 0.399767518593962 0.288 0.028 0 "0" "SDR16C5"
"TUBB" 0 0.399441943014648 0.956 0.909 0 "0" "TUBB"
"CLDN7" 0 0.396903211843624 0.857 0.611 0 "0" "CLDN7"
"LYPD6B" 0 0.394681513245312 0.302 0.026 0 "0" "LYPD6B"
"TMEM106B" 0 0.3940845900839 0.459 0.235 0 "0" "TMEM106B"
"PVRL2" 0 0.393001642979782 0.63 0.4 0 "0" "PVRL2"
"PGM2L1" 0 0.391042592244361 0.368 0.129 0 "0" "PGM2L1"
"BATF" 0 0.389925685381945 0.283 0.027 0 "0" "BATF"
"SCARB2" 0 0.387596600640171 0.482 0.215 0 "0" "SCARB2"
"PTP4A2" 0 0.386954470044126 0.846 0.682 0 "0" "PTP4A2"
"ACADSB" 0 0.386400700704618 0.274 0.043 0 "0" "ACADSB"
"LMCD1" 0 0.383570043449847 0.254 0.052 0 "0" "LMCD1"
"APLP2" 0 0.382868767998756 0.673 0.428 0 "0" "APLP2"
"PRR13" 0 0.38282377119225 0.737 0.521 0 "0" "PRR13"
"COX7C" 0 0.381696075800012 0.968 0.881 0 "0" "COX7C"
"ALCAM" 0 0.381330805925479 0.37 0.103 0 "0" "ALCAM"
"SPDEF" 0 0.373957720549848 0.269 0.029 0 "0" "SPDEF"
"DYNLT1" 0 0.373148323808335 0.859 0.705 0 "0" "DYNLT1"
"C19orf33" 0 0.371232372760473 0.282 0.101 0 "0" "C19orf33"
"ALDH2" 0 0.366649648369055 0.312 0.096 0 "0" "ALDH2"
"SRD5A3" 0 0.365009898644522 0.352 0.143 0 "0" "SRD5A3"
"RHOBTB3" 0 0.363356264675063 0.29 0.037 0 "0" "RHOBTB3"
"COX6B1" 0 0.36237486128183 0.93 0.791 0 "0" "COX6B1"
"AR" 0 0.358626086636601 0.279 0.021 0 "0" "AR"
"ELOVL5" 0 0.355938273187246 0.452 0.207 0 "0" "ELOVL5"
"PKIB" 0 0.350002154108806 0.289 0.105 0 "0" "PKIB"
"PVRL4" 0 0.349862100006533 0.43 0.187 0 "0" "PVRL4"
"IRS1" 0 0.344300706966412 0.264 0.059 0 "0" "IRS1"
"RBM47" 0 0.338200383152162 0.391 0.16 0 "0" "RBM47"
"SC5D" 0 0.330218320199157 0.35 0.137 0 "0" "SC5D"
"RASEF" 0 0.329284436968977 0.278 0.048 0 "0" "RASEF"
"ERBB3" 0 0.324560189744317 0.399 0.178 0 "0" "ERBB3"
"SRP14" 0 0.32119197534171 0.988 0.962 0 "0" "SRP14"
"OAZ1" 0 0.31308585834543 0.989 0.96 0 "0" "OAZ1"
"TTC39A" 0 0.31132111065493 0.258 0.036 0 "0" "TTC39A"
"OPN3" 0 0.307346050542124 0.352 0.131 0 "0" "OPN3"
"BCAS4" 0 0.304707765298186 0.271 0.065 0 "0" "BCAS4"
